# STEP   STRAN(1)    STRAN(2)    STRAN(3)   STRESS(1)   STRESS(2)   STRESS(1)    OMEGA(1)    OMEGA(2)    OMEGA(3)   fd0
  103  0.0000E+00  0.0000E+00  0.2060E-02  0.2119E+08  0.2119E+08  0.7884E+08  0.0000E+00  0.0000E+00  0.9102E-01  0.5954E-04
  104  0.0000E+00  0.0000E+00  0.2080E-02  0.2129E+08  0.2129E+08  0.7923E+08  0.0000E+00  0.0000E+00  0.9190E-01  0.5899E-04
  105  0.0000E+00  0.0000E+00  0.2100E-02  0.2140E+08  0.2140E+08  0.7961E+08  0.0000E+00  0.0000E+00  0.9279E-01  0.5844E-04
  106  0.0000E+00  0.0000E+00  0.2120E-02  0.2150E+08  0.2150E+08  0.7998E+08  0.0000E+00  0.0000E+00  0.9367E-01  0.5789E-04
  107  0.0000E+00  0.0000E+00  0.2140E-02  0.2160E+08  0.2160E+08  0.8036E+08  0.0000E+00  0.0000E+00  0.9455E-01  0.5734E-04
  108  0.0000E+00  0.0000E+00  0.2160E-02  0.2170E+08  0.2170E+08  0.8073E+08  0.0000E+00  0.0000E+00  0.9542E-01  0.5679E-04
  109  0.0000E+00  0.0000E+00  0.2180E-02  0.2181E+08  0.2181E+08  0.8110E+08  0.0000E+00  0.0000E+00  0.9630E-01  0.5624E-04
  110  0.0000E+00  0.0000E+00  0.2200E-02  0.2191E+08  0.2191E+08  0.8146E+08  0.0000E+00  0.0000E+00  0.9717E-01  0.5570E-04
  111  0.0000E+00  0.0000E+00  0.2220E-02  0.2201E+08  0.2201E+08  0.8183E+08  0.0000E+00  0.0000E+00  0.9804E-01  0.5516E-04
  112  0.0000E+00  0.0000E+00  0.2240E-02  0.2211E+08  0.2211E+08  0.8219E+08  0.0000E+00  0.0000E+00  0.9891E-01  0.5462E-04
  113  0.0000E+00  0.0000E+00  0.2260E-02  0.2220E+08  0.2220E+08  0.8255E+08  0.0000E+00  0.0000E+00  0.9978E-01  0.5409E-04
  114  0.0000E+00  0.0000E+00  0.2280E-02  0.2230E+08  0.2230E+08  0.8291E+08  0.0000E+00  0.0000E+00  0.1006E+00  0.5355E-04
  115  0.0000E+00  0.0000E+00  0.2300E-02  0.2240E+08  0.2240E+08  0.8326E+08  0.0000E+00  0.0000E+00  0.1015E+00  0.5302E-04
  116  0.0000E+00  0.0000E+00  0.2320E-02  0.2250E+08  0.2250E+08  0.8361E+08  0.0000E+00  0.0000E+00  0.1024E+00  0.5250E-04
  117  0.0000E+00  0.0000E+00  0.2340E-02  0.2259E+08  0.2259E+08  0.8396E+08  0.0000E+00  0.0000E+00  0.1032E+00  0.5197E-04
  118  0.0000E+00  0.0000E+00  0.2360E-02  0.2269E+08  0.2269E+08  0.8431E+08  0.0000E+00  0.0000E+00  0.1041E+00  0.5145E-04
  119  0.0000E+00  0.0000E+00  0.2380E-02  0.2278E+08  0.2278E+08  0.8466E+08  0.0000E+00  0.0000E+00  0.1049E+00  0.5094E-04
  120  0.0000E+00  0.0000E+00  0.2400E-02  0.2288E+08  0.2288E+08  0.8500E+08  0.0000E+00  0.0000E+00  0.1058E+00  0.5043E-04
  121  0.0000E+00  0.0000E+00  0.2420E-02  0.2297E+08  0.2297E+08  0.8534E+08  0.0000E+00  0.0000E+00  0.1066E+00  0.4992E-04
  122  0.0000E+00  0.0000E+00  0.2440E-02  0.2307E+08  0.2307E+08  0.8568E+08  0.0000E+00  0.0000E+00  0.1075E+00  0.4941E-04
  123  0.0000E+00  0.0000E+00  0.2460E-02  0.2316E+08  0.2316E+08  0.8602E+08  0.0000E+00  0.0000E+00  0.1083E+00  0.4891E-04
  124  0.0000E+00  0.0000E+00  0.2480E-02  0.2325E+08  0.2325E+08  0.8635E+08  0.0000E+00  0.0000E+00  0.1092E+00  0.4842E-04
  125  0.0000E+00  0.0000E+00  0.2500E-02  0.2334E+08  0.2334E+08  0.8669E+08  0.0000E+00  0.0000E+00  0.1100E+00  0.4792E-04
  126  0.0000E+00  0.0000E+00  0.2520E-02  0.2343E+08  0.2343E+08  0.8702E+08  0.0000E+00  0.0000E+00  0.1109E+00  0.4744E-04
  127  0.0000E+00  0.0000E+00  0.2540E-02  0.2352E+08  0.2352E+08  0.8735E+08  0.0000E+00  0.0000E+00  0.1117E+00  0.4695E-04
  128  0.0000E+00  0.0000E+00  0.2560E-02  0.2362E+08  0.2362E+08  0.8767E+08  0.0000E+00  0.0000E+00  0.1125E+00  0.4647E-04
  129  0.0000E+00  0.0000E+00  0.2580E-02  0.2371E+08  0.2371E+08  0.8800E+08  0.0000E+00  0.0000E+00  0.1134E+00  0.4600E-04
  130  0.0000E+00  0.0000E+00  0.2600E-02  0.2379E+08  0.2379E+08  0.8832E+08  0.0000E+00  0.0000E+00  0.1142E+00  0.4553E-04
  131  0.0000E+00  0.0000E+00  0.2620E-02  0.2388E+08  0.2388E+08  0.8864E+08  0.0000E+00  0.0000E+00  0.1150E+00  0.4506E-04
  132  0.0000E+00  0.0000E+00  0.2640E-02  0.2397E+08  0.2397E+08  0.8896E+08  0.0000E+00  0.0000E+00  0.1159E+00  0.4460E-04
  133  0.0000E+00  0.0000E+00  0.2660E-02  0.2406E+08  0.2406E+08  0.8928E+08  0.0000E+00  0.0000E+00  0.1167E+00  0.4415E-04
  134  0.0000E+00  0.0000E+00  0.2680E-02  0.2415E+08  0.2415E+08  0.8960E+08  0.0000E+00  0.0000E+00  0.1175E+00  0.4369E-04
  135  0.0000E+00  0.0000E+00  0.2700E-02  0.2423E+08  0.2423E+08  0.8991E+08  0.0000E+00  0.0000E+00  0.1184E+00  0.4324E-04
  136  0.0000E+00  0.0000E+00  0.2720E-02  0.2432E+08  0.2432E+08  0.9023E+08  0.0000E+00  0.0000E+00  0.1192E+00  0.4280E-04
  137  0.0000E+00  0.0000E+00  0.2740E-02  0.2441E+08  0.2441E+08  0.9054E+08  0.0000E+00  0.0000E+00  0.1200E+00  0.4236E-04
  138  0.0000E+00  0.0000E+00  0.2760E-02  0.2449E+08  0.2449E+08  0.9085E+08  0.0000E+00  0.0000E+00  0.1208E+00  0.4193E-04
  139  0.0000E+00  0.0000E+00  0.2780E-02  0.2458E+08  0.2458E+08  0.9115E+08  0.0000E+00  0.0000E+00  0.1217E+00  0.4150E-04
  140  0.0000E+00  0.0000E+00  0.2800E-02  0.2466E+08  0.2466E+08  0.9146E+08  0.0000E+00  0.0000E+00  0.1225E+00  0.4107E-04
  141  0.0000E+00  0.0000E+00  0.2820E-02  0.2475E+08  0.2475E+08  0.9176E+08  0.0000E+00  0.0000E+00  0.1233E+00  0.4065E-04
  142  0.0000E+00  0.0000E+00  0.2840E-02  0.2483E+08  0.2483E+08  0.9207E+08  0.0000E+00  0.0000E+00  0.1241E+00  0.4024E-04
  143  0.0000E+00  0.0000E+00  0.2860E-02  0.2491E+08  0.2491E+08  0.9237E+08  0.0000E+00  0.0000E+00  0.1249E+00  0.3982E-04
  144  0.0000E+00  0.0000E+00  0.2880E-02  0.2500E+08  0.2500E+08  0.9267E+08  0.0000E+00  0.0000E+00  0.1257E+00  0.3942E-04
  145  0.0000E+00  0.0000E+00  0.2900E-02  0.2508E+08  0.2508E+08  0.9297E+08  0.0000E+00  0.0000E+00  0.1265E+00  0.3901E-04
  146  0.0000E+00  0.0000E+00  0.2920E-02  0.2516E+08  0.2516E+08  0.9326E+08  0.0000E+00  0.0000E+00  0.1273E+00  0.3862E-04
  147  0.0000E+00  0.0000E+00  0.2940E-02  0.2524E+08  0.2524E+08  0.9356E+08  0.0000E+00  0.0000E+00  0.1282E+00  0.3822E-04
  148  0.0000E+00  0.0000E+00  0.2960E-02  0.2532E+08  0.2532E+08  0.9385E+08  0.0000E+00  0.0000E+00  0.1290E+00  0.3783E-04
  149  0.0000E+00  0.0000E+00  0.2980E-02  0.2540E+08  0.2540E+08  0.9414E+08  0.0000E+00  0.0000E+00  0.1298E+00  0.3745E-04
  150  0.0000E+00  0.0000E+00  0.3000E-02  0.2549E+08  0.2549E+08  0.9443E+08  0.0000E+00  0.0000E+00  0.1306E+00  0.3706E-04
  151  0.0000E+00  0.0000E+00  0.3020E-02  0.2557E+08  0.2557E+08  0.9472E+08  0.0000E+00  0.0000E+00  0.1314E+00  0.3669E-04
  152  0.0000E+00  0.0000E+00  0.3040E-02  0.2565E+08  0.2565E+08  0.9501E+08  0.0000E+00  0.0000E+00  0.1322E+00  0.3631E-04
  153  0.0000E+00  0.0000E+00  0.3060E-02  0.2573E+08  0.2573E+08  0.9530E+08  0.0000E+00  0.0000E+00  0.1330E+00  0.3595E-04
  154  0.0000E+00  0.0000E+00  0.3080E-02  0.2580E+08  0.2580E+08  0.9558E+08  0.0000E+00  0.0000E+00  0.1338E+00  0.3558E-04
  155  0.0000E+00  0.0000E+00  0.3100E-02  0.2588E+08  0.2588E+08  0.9587E+08  0.0000E+00  0.0000E+00  0.1346E+00  0.3522E-04
